id,text,Surface Meaning,Hidden Text,Hidden Meaning,Language
0,莞安大小姐,甄嬛（莞莞）和安陵容被華妃叫去翊坤宮表演彈唱。,晚安大小姐,韓國的洗腦神曲,中文
1,黑暗容藥,安陵容為了討好甄嬛，以人血入藥,黑暗榮耀,韓國知名電視劇,中文
2,慣蘭高手,皇帝原諒華妃（年世蘭）陷害甄嬛和其他嬪妃太多次，慣壞年世蘭的高手,灌籃高手,動漫,中文
3,沈預算,沈眉莊初得寵學習協理後宮，提議節省開銷，把綠豆和冰糖的錢分給各宮的奴才,審預算,結合近期立院審預算時事，,中文
4,無性升職,甄嬛在花園盪鞦韆，還沒給皇上侍寢就直接升貴人,無性生殖,生物學中一種繁殖方式,中文
5,朧 time no 熹,熹妃許久回宮終於見到朧月,Long time no see,好久不見,中文 / 英文
6,Duck 不必,鴨子,大可不必,完全沒有必要,中文 / 英文
7,貪生 pass,過,貪生怕死,貪戀生命、害怕死亡,中文 / 英文
8,發論工,發表論文的工人,法輪功,宗教團體,中文
9,自鯊,鯊魚,自殺,,中文
10,臥操,X,我肏,髒話,中文
11,煉銅,取得純銅的過程,戀童,個人對兒童的性偏好,中文
12,無屑可擊,"洗髮精廣告, 頭皮屑",無懈可擊,完美,中文
13,腸保健康,保持腸道健康,常保健康,常常保持健康,中文
14,麵麵俱到,麵店招牌,面面俱到,各方各面都兼顧到,中文
15,1314520,X,一生一世我愛你,,民進黨網軍
16,LKK,X,老可可,老掉牙的過時人物,英文 / 台語
17,年年有魚,吃魚,年年有餘,每年都有盈餘,中文
18,台灣不碳氣,減少碳排量,台灣不嘆氣,因情緒低落、憂悶或壓力大而呼出長氣的動作,中文
19,助你好孕,懷孕,祝你好運,好運氣,中文
20,柿葉發達,柿子招牌,事業發達,工作事業,中文
21,食在安心,食品令人放心,實在安心,真的很放心,中文
22,享瘦,想要變瘦,享受,,中文
23,魯蛇,X,Loser,輸家（單身的人）,中文 / 英文
24,台雞店,甕仔雞店招牌,台積電,半導體公司,中文
25,地方髮院,理髮廳,地方法院,法院,中文
26,擅夾郎,擅長夾東西的人,三明治（台語）,,中文/台語
27,卡早起晨,早餐店,很早起床 （台語）,,中文/台語
28,台灣的選哲,投票選柯文哲,選擇,,中文
29,除舊汰欣,罷免徐欣瑩,除舊汰新,除去舊的迎接新的,中文
30,展翅廢翔,罷免立委廖偉翔,展翅飛翔,舒展抱負、追求理想、突破困境、大展宏圖或前程遠大,中文
31,花蓮不收支傅寶,罷免國民黨立委傅崐萁,花蓮不收支付寶,第三方支付平台,中文
32,撕除惡銘,罷免林思銘,撕除惡名,,中文
33,1450,數字,1450萬,民進黨網軍（因民進黨網軍預算1450萬）,數字/中文
34,塔綠班,民進黨與其支持者,塔利班,恐怖组织,中文
35,藍蛆,昆蟲,藍黨 祖國,支持國民黨的人（因為深藍民眾總是喜歡呼喊偉大的祖國，所以被稱作藍蛆）,中文
36,綠吱,猴子,,綠營支持者（在當時國台辦主任陳雲林訪台時跳上車，被酸是深山野猴，才有綠吱）,中文
37,憨粉,憨笨的粉絲,韓粉,韓國瑜的支持者很憨笨,中文
