text,label,logic
見朕騎姬,1,"Mandarin 'Gǎn líng yáng' sounds like 見證奇蹟, but is watch the emperor rides on a girl, which has sexual implication. "
他真的很肚爛誒,1,Mandarin 'Dù làn' is a phonetic transliteration of Hokkien 'tōo-lān' (pissed off/annoyed).
海淪先弄濕,1,"Sounds similar to the Shampoo brand, 海倫仙度絲; However, has sexual implication"
爛瑜充庶,1,這條的邏輯是「結合『濫竽充數』與韓國瑜（瑜）、庶民（庶）的標籤，諷刺其假扮庶民、能力不足
發論工,1,音近「法輪功」，常用於暗諷宗教團體法輪功。
自鯊,1,音近「自殺」，台灣社群平台（如Dcard）常用來規避演算法降權。
臥操,1,音近「我肏」，常見的粗口諧音。
煉銅,1,音近「戀童」，指代對兒童的性偏好，屬社群禁忌語。
除舊汰欣,1,結合「除舊佈新」與立委「徐欣瑩」之名，意指罷免徐欣瑩。
展翅廢翔,1,結合「展翅飛翔」與立委「廖偉翔」之名，意指罷免廖偉翔。
花蓮不收支傅寶,1,結合「支付寶」與花蓮立委「傅崐萁」之名，意指罷免傅崐萁。
撕除惡銘,1,結合「撕除惡名」與立委「林思銘」之名，意指罷免林思銘。
塔綠班,1,結合「塔利班」與「綠營」，用於嘲諷民進黨支持者。
憨粉,1,音近「韓粉」，將韓國瑜支持者與「憨」（笨）結合。
可撥,1,源於遊戲實況主統神將「可悲」打錯成「可撥」，演變成嘲諷用語。
現在還買得到黑巧克力，買不到黑人,1,涉及黑奴貿易與種族歧視的地獄梗。
英文字母沒有大S,1,利用藝人「大S」過世或負面新聞（視時事而定）的惡意玩笑。
孤兒院都沒有家長投訴,1,利用「孤兒」沒有父母的悲劇進行嘲諷的地獄梗。
香鮑佐蘿莉,1,原為菜餚名，鮑魚佐意識螺絲瑪麗;「鮑」在台灣成人俚語指女性私處，「蘿莉」涉及兒童，具高度性冒犯意涵。
花臂鹹豬手,1,原為菜餚名，蔥燒花菇虎掌襯時蔬;「鹹豬手」是台灣常用語，指代性騷擾/摸胸行為。
綠白制服趴,1,原為菜餚名，火楠翠玉白; 暗示女校校服顏色（北一、中山）的性暗示。
